Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label
32.0,6,114.0,3976.0204758744894,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9348,66,1514,934.8,747.7439847077786,934.8,3.062009811401E-4,10,559121.0666666667,BENIGN
0.0,47,64.0,5402.524601988768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200,592,592,592.0,0.0,592.0,1.863980293273E-4,100,0.0,MIRAI-GREETH_FLOOD
20.0,6,64.0,71489.75626384864,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.3988018035888672E-5,100,0.0,DDOS-RSTFINFLOOD
0.0,1,64.54,4232.609112467834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6038,60,98,60.38,3.799999999999998,60.38,2.362704277038E-4,100,14.439999999999984,DDOS-ICMP_FLOOD
20.0,6,64.0,24668.023290007644,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.054784774780273E-5,100,0.0,DDOS-RSTFINFLOOD
0.0,1,64.0,62704.49992525041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.7178058624267577E-5,100,0.0,DDOS-ICMP_FLOOD
20.36,6,65.65,9375.679542203148,0.0,0.98,0.0,0.0,0.02,0.0,0.0,2,98,0,0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6024,60,78,60.24,1.891608262347624,60.24,1.066589355468E-4,100,3.5781818181817977,DDOS-SYN_FLOOD
8.0,17,64.0,22491.97769197769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,4.446029663085937E-5,100,0.0,DOS-UDP_FLOOD
0.0,1,75.46,10498.620810492854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,9.52601432800293E-5,100,0.0,DDOS-ICMP_FLOOD
20.0,6,64.0,5406.912198832068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,1.849484443664E-4,100,0.0,DDOS-TCP_FLOOD
